ds,yhat,yhat_lower,yhat_upper
2022-03-10,24141.226902529193,1225.8901298864084,46607.8278067686
2022-03-11,26746.775983893935,4390.772006648553,51210.13474546251
2022-03-12,23687.157075757954,413.2730493769298,44974.95348818493
2022-03-13,22307.551650091515,-119.5500411573106,45646.928007590664
2022-03-14,22820.230141039803,226.6529122307103,45352.167927841445
2022-03-15,20833.8213390391,-1939.2578560675533,43062.87949936853
2022-03-16,20989.298513156726,-2031.7481602711762,43701.99624334496
2022-03-17,20016.746506906587,-3828.72428473944,43199.19464784705
2022-03-18,22758.54191351764,-1802.3471952566535,44133.64614179267
2022-03-19,19901.397353717424,-3184.63647927168,42767.1481474827
2022-03-20,18784.636565080866,-4501.361816347544,40624.06072042411
2022-03-21,19613.228448357062,-3436.778907751393,42571.10762942607
2022-03-22,17987.289074506178,-3825.4844815298757,40788.00319438435
2022-03-23,18538.33143979124,-4921.632689180055,41350.20130769087
2022-03-24,17986.319057907185,-6914.4874825368315,41141.04968388933
2022-03-25,21163.146812733023,-613.341084412282,44612.4800846686
2022-03-26,18744.991075536815,-2210.7333705576807,42705.43727067558
2022-03-27,18060.886719392893,-4692.431281910415,41046.141640525384
2022-03-28,19306.050311729217,-3095.309487045823,42307.91297247638
2022-03-29,18071.650096162448,-4683.913471817388,41499.662552714886
2022-03-30,18981.294876780274,-4173.870371343539,41339.33186105862
2022-03-31,18748.291158743254,-4600.82214691591,41051.256096257144
2022-04-01,22199.286366633507,-626.0492437429488,44594.832903174756
2022-04-02,26471.132462728878,2988.1809408628533,50029.411308266725
2022-04-03,19817.71870523548,-5806.171753648508,42951.00528035331
2022-04-04,18800.61637003661,-5539.681052272773,40785.08040344634
2022-04-05,19868.893391924215,-2533.6497196121177,42548.20694329351
2022-04-06,23239.063421468036,1929.611856826155,46476.24347100778
2022-04-07,21951.665401005448,-541.1666730990145,45562.66533410128
2022-04-08,22011.284262807516,335.13098840917195,45460.87180391999
2022-04-09,13934.48007971942,-10539.227096920828,37180.625768905265
2022-04-10,10407.227466193675,-11452.232392924994,32947.61031097137
2022-04-11,32394.74174339396,9273.46455987363,55885.85948016081
2022-04-12,13341.912922917993,-9430.987370866129,36677.20997136995
2022-04-13,13202.62052361141,-8960.88262163589,38126.405608054585
2022-04-14,12185.533885816798,-10590.046793756794,34385.79811281352
2022-04-15,16874.12246518728,-6193.689108843323,39993.499043079646
2022-04-16,13194.382919740396,-7679.382135918704,35939.256785572805
2022-04-17,18776.635507555075,-3897.760289977608,42333.19662159238
2022-04-18,6602.371151376199,-16039.264768430083,28947.99338847528
2022-04-19,17928.9874997643,-2574.4153815592276,41466.034612683325
2022-04-20,10566.036477922098,-14486.975721781711,33958.579570473164
2022-04-21,13625.470248049256,-7235.643978257852,36674.427348788864
2022-04-22,22723.132371762535,-291.4671726493681,44289.0236834835
2022-04-23,20297.635371442506,-769.9247377894036,41850.577869190674
2022-04-24,13891.960526127714,-9101.223177613574,36613.92619948746
2022-04-25,19253.142107413187,-3756.2425991382343,42129.43013902091
2022-04-26,9868.939867671263,-15254.422025765327,33484.59370135155
2022-04-27,23667.162699299974,1699.628016881782,46642.79476424609
2022-04-28,38020.58350699515,16007.541203131566,61762.6174369507
2022-04-29,24824.44176016142,1649.346542859296,47161.30676915284
2022-04-30,15829.25126470999,-6690.9366434251115,38879.37510506601
2022-05-01,17094.908063110044,-4685.787121793678,38878.62523761254
2022-05-02,22019.740553866508,-869.8637204345691,45587.115631434346
2022-05-03,24382.07685923604,2372.377643706788,48542.943163152464
2022-05-04,25378.664068671416,3157.3146637587975,47953.16015450741
2022-05-05,25184.640211780297,554.653830244067,47672.38618209429
2022-05-06,28627.534093360195,4097.059653647035,53461.326134484254
2022-05-07,26380.978578991886,5106.483575864057,49929.32407236363
2022-05-08,25773.34290292184,1793.5225736820564,47691.929833809525
2022-05-09,27001.06366558122,5122.546355288058,50857.07174002672
2022-05-10,25658.375094541276,4021.5666224352813,50308.53486436398
2022-05-11,26373.711961403205,3528.926011823793,48951.76647107892
2022-05-12,25866.837063344414,1493.3917046490265,48186.34933176133
2022-05-13,28972.314843914948,6346.365916571309,52211.418602201884
2022-05-14,26371.77368589568,2878.041752404958,48252.82666964429
2022-05-15,25402.31739121783,2190.5666825407548,47300.376843913764
2022-05-16,26269.610272017075,3293.7185170015164,47562.078768018364
2022-05-17,24577.34370742539,260.49193129837505,47521.43484865402
2022-05-18,24963.365401968622,2810.2965001981083,47617.22108171615
2022-05-19,24156.53142506516,2122.651548986838,47173.741993197946
2022-05-20,26999.910858750263,5158.310066424126,49208.8251767473
2022-05-21,24182.793671808322,1124.2301196588887,48148.03350763114
2022-05-22,23048.869929021876,1861.153380641049,46626.61450747013
2022-05-23,23809.112204179357,2658.8368057964726,47871.88510390861
